location,country_code,latitude,longitude,confirmed,dead,recovered,updated
Vechta,de,52.72922519999999,8.2838762,346,11,None,2020-06-23 00:00:00+00:00
Jiujiang,cn,29.705077,116.00193,116,0,116,2020-06-24 03:32:45.041788+00:00
Jatobá,br,-9.1840236,-38.2672396,8,0,None,2020-06-13 00:20:06.824214+00:00
"Douglas County, Missouri",us,36.9708648,-92.49999179999999,3,0,None,2020-06-24 03:30:27.070589+00:00
"Douglas County, Nevada",us,38.9265035,-119.6499162,54,0,None,2020-06-24 03:30:27.070589+00:00
Alvorada do Gurguéia,br,-8.424593900000001,-43.77740740000001,2,0,None,2020-06-13 00:19:41.358966+00:00
Santa Bárbara do Leste,br,-19.9757806,-42.1461437,2,0,None,2020-06-13 00:20:27.307406+00:00
Itauçu,br,-16.2039333,-49.6047249,1,0,None,2020-06-13 00:20:05.057171+00:00
"Los Alamos County, New Mexico",us,35.84962489999999,-106.3228338,7,0,None,2020-06-24 03:30:27.070589+00:00
Siriri,br,-10.5969214,-37.1134048,23,0,None,2020-06-13 00:20:31.175464+00:00
"Kinney County, Texas",us,29.2934865,-100.3497895,2,0,None,2020-06-24 03:30:27.070589+00:00
Yangjiang,cn,21.857958,111.982232,14,0,14,2020-06-24 03:32:45.041788+00:00
Andradina,br,-20.8990661,-51.37969229999999,42,5,None,2020-06-13 00:19:41.846801+00:00
Urupá,br,-11.1242915,-62.3635277,22,0,None,2020-06-13 00:20:38.684067+00:00
"Faulkner County, Arkansas",us,35.1035858,-92.38136209999999,290,3,None,2020-06-24 03:30:27.070589+00:00
Tanque Novo,br,-13.5489556,-42.4937995,0,0,None,2020-06-13 00:20:35.821213+00:00
Borger-Odoorn,nl,52.88937199999999,6.8884038,4,None,None,2020-06-15 13:33:30.594509+00:00
"Unassigned County, Kentucky",us,37.8393332,-84.2700179,21,0,0,2020-06-22 03:31:42.157088+00:00
Silveirânia,br,-21.1611232,-43.2154155,3,0,None,2020-06-13 00:20:30.992871+00:00
"Humboldt County, Iowa",us,42.7482597,-94.19234000000002,41,1,None,2020-06-22 03:30:28.753679+00:00
Riacho dos Cavalos,br,-6.4369179,-37.6509179,2,0,None,2020-06-13 00:20:25.470776+00:00
Lot-et-Garonne,fr,44.2470173,0.4502368,91,10,74,2020-06-24 03:32:18.964510+00:00
Pedrão,br,-12.146403,-38.6449255,0,0,None,2020-06-13 00:20:20.033411+00:00
São João do Oeste,br,-27.0991941,-53.5926047,1,0,None,2020-06-13 00:20:33.944090+00:00
Al Shaarif,sa,21.6445097,39.1236583,8,0,0,2020-05-29 12:20:09.929649+00:00
Santa Isabel do Rio Negro,br,-0.2725526,-65.475736,63,1,None,2020-06-13 00:20:27.849865+00:00
Campos do Jordão,br,-22.7428673,-45.5963557,72,1,None,2020-06-13 00:19:49.267226+00:00
Abadiânia,br,-16.197426,-48.7064825,14,0,None,2020-06-13 00:19:40.045555+00:00
"Columbia County, Arkansas",us,33.1285176,-93.17796589999999,43,2,None,2020-06-24 03:30:27.070589+00:00
